engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_2_avg5,sensor_2_avg10,sensor_2_avg20,sensor_2_avg30,sensor_2_diff,sensor_4_avg5,sensor_4_avg10,sensor_4_avg20,sensor_4_avg30,sensor_4_diff,sensor_11_avg5,sensor_11_avg10,sensor_11_avg20,sensor_11_avg30,sensor_11_diff,sensor_15_avg5,sensor_15_avg10,sensor_15_avg20,sensor_15_avg30,sensor_15_diff,sensor_17_avg5,sensor_17_avg10,sensor_17_avg20,sensor_17_avg30,sensor_17_diff,Health_Status,Predicted_RUL,Health_Score,Recommendation
11,83,0.0001,0.0004,100.0,518.67,642.42,1587.73,1414.22,14.62,21.61,552.8,2388.21,9037.11,1.3,47.67,520.74,2388.18,8116.85,8.464,0.03,394,2388,100.0,38.66,23.2908,642.8,642.859,642.8415,642.8483333333334,-0.8700000000000045,1415.558,1414.5099999999998,1412.431,1412.017,6.079999999999927,47.589999999999996,47.595,47.6115,47.618,0.060000000000002274,8.449060000000001,8.4558,8.44593,8.447613333333333,0.027599999999999625,392.6,392.9,392.9,392.9,0.0,Warning,90.92255230548653,30,Schedule Maintenance Soon
12,217,0.0013,0.0003,100.0,518.67,642.59,1595.9,1409.64,14.62,21.61,553.36,2388.04,9074.24,1.3,47.37,522.03,2388.02,8155.74,8.4482,0.03,393,2388,100.0,38.81,23.2861,642.446,642.482,642.421,642.4903333333334,0.5,1407.396,1404.3719999999998,1404.1295,1404.1746666666666,1.5700000000001637,47.40599999999999,47.399,47.39,47.391333333333336,-0.09000000000000341,8.43058,8.42952,8.42114,8.42071,0.04940000000000033,392.4,392.3,392.25,392.43333333333334,1.0,Warning,125.84814316239317,42,Schedule Maintenance Soon
13,195,0.0032,-0.0004,100.0,518.67,642.37,1591.31,1414.51,14.62,21.61,553.28,2388.1,9060.92,1.3,47.52,521.3,2388.12,8146.8,8.4336,0.03,394,2388,100.0,38.75,23.282,642.5,642.461,642.488,642.5243333333333,-0.2899999999999636,1410.27,1408.807,1407.1535,1406.51,3.7999999999999545,47.478,47.474000000000004,47.441,47.414333333333325,0.11000000000000654,8.42418,8.4319,8.427795,8.428976666666665,-0.02069999999999972,393.4,393.3,392.95,392.8333333333333,-1.0,Warning,102.03159420289855,34,Schedule Maintenance Soon
14,46,0.0013,-0.0002,100.0,518.67,642.91,1591.39,1408.35,14.62,21.61,553.75,2388.17,9037.35,1.3,47.57,520.66,2388.1,8118.1,8.4233,0.03,393,2388,100.0,38.69,23.2603,642.742,642.699,642.6709999999999,642.662,0.049999999999954525,1411.046,1411.333,1410.8545,1409.6290000000001,-4.170000000000073,47.64399999999999,47.605000000000004,47.606,47.601333333333336,0.060000000000002274,8.436599999999999,8.441559999999999,8.44049,8.44191,-0.0235000000000003,393.0,393.2,393.25,393.1,1.0,Healthy,141.09077426848563,47,Operating Normally
15,76,-0.0012,-0.0,100.0,518.67,642.49,1589.21,1400.61,14.62,21.61,554.08,2388.1,9056.1,1.3,47.25,522.12,2388.11,8139.75,8.4067,0.03,392,2388,100.0,39.17,23.4085,642.48,642.3199999999999,642.3695,642.3673333333334,0.15999999999996817,1402.674,1401.942,1401.2279999999998,1401.4399999999998,-7.190000000000055,47.342,47.348,47.3275,47.30133333333333,-0.030000000000001137,8.41562,8.41501,8.421009999999999,8.416393333333334,-0.009100000000000108,392.6,392.6,392.5,392.3666666666667,-2.0,Healthy,117.42611482720177,39,Operating Normally
16,113,-0.0005,0.0002,100.0,518.67,642.99,1587.03,1401.0,14.62,21.61,554.6,2388.08,9059.75,1.3,47.37,521.77,2388.08,8147.4,8.4299,0.03,391,2388,100.0,38.81,23.304,642.4939999999999,642.481,642.3644999999999,642.3096666666667,0.5199999999999818,1400.9940000000001,1401.541,1402.0120000000002,1402.073,-1.7100000000000364,47.338,47.348,47.3195,47.32633333333334,0.07000000000000028,8.42234,8.4167,8.41264,8.410856666666668,0.013999999999999346,391.8,392.1,392.15,392.3,-2.0,Healthy,102.39396463032186,34,Operating Normally
17,165,0.0009,-0.0001,100.0,518.67,642.9,1599.17,1412.54,14.62,21.61,553.49,2388.06,9094.72,1.3,47.55,521.52,2388.03,8171.98,8.4319,0.03,394,2388,100.0,38.7,23.2948,642.8219999999999,642.725,642.758,642.6536666666667,0.5099999999999909,1411.858,1412.551,1410.6865,1408.781,-0.4900000000000091,47.5,47.518,47.5205,47.49633333333333,0.1599999999999966,8.44386,8.44175,8.44221,8.439773333333333,0.017000000000001236,393.4,393.2,392.95,392.96666666666664,1.0,Warning,79.78828816291292,26,Schedule Maintenance Soon
18,133,0.0007,0.0001,100.0,518.67,643.0,1600.45,1419.18,14.62,21.61,553.36,2388.14,9056.09,1.3,47.7,521.06,2388.19,8136.8,8.4418,0.03,395,2388,100.0,38.71,23.2637,642.942,642.768,642.6964999999999,642.6356666666667,0.14999999999997726,1414.466,1413.283,1411.191,1409.1833333333334,5.330000000000155,47.628,47.637,47.582,47.54,-0.03999999999999915,8.4525,8.45552,8.446814999999999,8.444816666666666,0.013300000000000978,393.4,393.6,393.25,392.93333333333334,2.0,Warning,44.46274138824139,15,Schedule Maintenance Soon
19,135,0.0004,0.0003,100.0,518.67,642.79,1588.88,1406.32,14.62,21.61,553.87,2388.1,9055.54,1.3,47.35,521.48,2388.06,8140.2,8.4768,0.03,393,2388,100.0,38.83,23.3297,642.4680000000001,642.4,642.376,642.4476666666666,0.5299999999999727,1403.904,1402.251,1402.5970000000002,1402.6036666666666,6.189999999999827,47.474000000000004,47.451,47.378,47.36966666666667,-0.1599999999999966,8.4232,8.427340000000001,8.423075,8.42007,0.04940000000000033,392.8,392.4,392.45,392.3,1.0,Warning,93.73230246149764,31,Schedule Maintenance Soon
20,184,-0.0006,-0.0004,100.0,518.67,643.75,1595.12,1419.6,14.62,21.61,552.19,2388.14,9066.49,1.3,48.13,520.64,2388.21,8138.86,8.469,0.03,395,2388,100.0,38.35,23.0242,643.4979999999999,643.366,643.238,643.1413333333334,0.4199999999999591,1421.462,1420.685,1419.5085,1418.0116666666665,-3.490000000000009,48.008,47.924,47.8605,47.80133333333333,0.0800000000000054,8.4985,8.49145,8.48389,8.477553333333335,-0.06639999999999979,395.4,394.8,394.6,394.53333333333336,-2.0,Critical,12.519168615984407,4,Immediate Maintenance Required
21,148,0.0052,0.0005,100.0,518.67,642.66,1592.32,1403.77,14.62,21.61,553.86,2388.06,9087.25,1.3,47.46,522.02,2388.07,8168.51,8.441,0.03,392,2388,100.0,38.74,23.4982,642.414,642.3140000000001,642.2545,642.2783333333334,0.03999999999996362,1404.604,1404.102,1403.4045,1402.9726666666668,-3.5799999999999272,47.38,47.391999999999996,47.379000000000005,47.373333333333335,0.18999999999999773,8.42708,8.421510000000001,8.416030000000001,8.416576666666666,-0.017699999999999605,393.2,392.8,392.45,392.43333333333334,0.0,Warning,108.54345752047351,36,Schedule Maintenance Soon
22,39,-0.0,-0.0005,100.0,518.67,642.5,1583.42,1410.16,14.62,21.61,554.04,2388.09,9055.41,1.3,47.36,521.77,2388.11,8133.12,8.4143,0.03,392,2388,100.0,38.97,23.3058,642.632,642.568,642.5465,642.519,-0.16999999999995907,1407.53,1406.5130000000001,1405.679,1406.1926666666666,5.080000000000155,47.496,47.465,47.463499999999996,47.44533333333333,-0.1700000000000017,8.416360000000001,8.422239999999999,8.429955,8.430456666666666,-0.02210000000000001,392.6,392.4,392.45,392.56666666666666,0.0,Healthy,148.33913770838774,49,Operating Normally
23,130,-0.0006,0.0003,100.0,518.67,642.03,1588.77,1403.06,14.62,21.61,554.15,2388.05,9051.1,1.3,47.22,521.83,2388.08,8133.6,8.4249,0.03,392,2388,100.0,38.97,23.2815,642.518,642.355,642.2805000000001,642.3086666666667,-0.4500000000000455,1398.446,1399.443,1399.633,1399.8903333333333,8.019999999999982,47.245999999999995,47.279,47.2835,47.278,0.060000000000002274,8.39454,8.40493,8.405285000000001,8.402976666666667,0.024699999999999278,391.6,391.8,391.7,391.73333333333335,1.0,Healthy,144.4848936262167,48,Operating Normally
24,186,-0.0004,0.0002,100.0,518.67,643.28,1593.82,1415.13,14.62,21.61,553.78,2388.08,9148.56,1.3,47.7,520.69,2388.07,8211.21,8.4785,0.03,393,2388,100.0,38.72,23.2093,643.094,643.057,642.9219999999999,642.8196666666666,0.42999999999995,1414.218,1413.007,1412.4545,1410.698,-3.5,47.702,47.658,47.6065,47.59133333333333,-0.01999999999999602,8.4648,8.45999,8.457825,8.4543,0.03640000000000043,394.2,394.4,394.05,393.73333333333335,-2.0,Critical,27.155034656084656,9,Immediate Maintenance Required
25,48,0.0019,-0.0004,100.0,518.67,642.92,1584.08,1403.1,14.62,21.61,553.55,2388.08,9046.2,1.3,47.38,521.75,2388.07,8132.18,8.4422,0.03,394,2388,100.0,38.9,23.3876,642.636,642.613,642.479,642.4253333333334,0.34999999999990905,1403.732,1403.7350000000001,1401.889,1401.2533333333336,3.769999999999982,47.314,47.330999999999996,47.3305,47.33533333333333,0.12000000000000455,8.41338,8.42502,8.419015,8.41914,0.049599999999999866,392.6,392.4,392.25,392.26666666666665,1.0,Healthy,157.75687300287302,52,Operating Normally
26,76,-0.002,0.0003,100.0,518.67,642.31,1580.98,1402.4,14.62,21.61,554.45,2388.02,9074.01,1.3,47.4,521.93,2387.98,8151.64,8.4331,0.03,392,2388,100.0,38.89,23.366,642.3100000000001,642.3100000000001,642.364,642.2809999999998,0.009999999999990905,1399.694,1400.8960000000002,1400.987,1400.8253333333332,7.560000000000173,47.358,47.321999999999996,47.325,47.307,-0.020000000000003126,8.394120000000001,8.407689999999999,8.41301,8.414736666666666,0.046899999999999054,392.0,392.3,392.05,391.8,1.0,Healthy,125.53078523468942,42,Operating Normally
27,140,0.0038,0.0005,100.0,518.67,642.56,1586.56,1407.16,14.62,21.61,553.3,2388.06,9049.45,1.3,47.44,521.64,2388.14,8124.15,8.44,0.03,392,2388,100.0,38.9,23.185,642.506,642.5049999999999,642.4375,642.4173333333333,0.06999999999993634,1404.3380000000002,1406.225,1405.731,1404.7213333333334,5.410000000000082,47.386,47.424,47.435,47.421,0.0899999999999963,8.43116,8.429739999999999,8.42735,8.423933333333332,0.005599999999999383,392.4,392.4,392.25,392.3333333333333,-1.0,Warning,99.40287711153364,33,Schedule Maintenance Soon
28,158,-0.0002,0.0,100.0,518.67,642.86,1590.81,1405.28,14.62,21.61,553.26,2388.1,9065.84,1.3,47.59,521.63,2388.11,8134.63,8.4564,0.03,393,2388,100.0,38.86,23.2826,642.698,642.661,642.6450000000001,642.6416666666667,-0.13999999999998636,1407.5099999999998,1408.983,1408.3960000000002,1408.0243333333335,-3.5299999999999727,47.55,47.555,47.536500000000004,47.53433333333333,-0.06999999999999318,8.44078,8.43803,8.43967,8.437016666666667,0.03250000000000064,393.4,393.2,393.3,393.1333333333333,0.0,Healthy,94.88339562712152,31,Operating Normally
29,171,-0.0002,-0.0001,100.0,518.67,642.53,1585.72,1405.88,14.62,21.61,553.29,2388.08,9074.11,1.3,47.26,521.57,2388.07,8147.27,8.4202,0.03,393,2388,100.0,38.98,23.1975,642.624,642.518,642.545,642.5319999999999,-0.32000000000005,1407.7600000000002,1406.343,1406.0030000000002,1405.2403333333334,-0.8699999999998909,47.36,47.414,47.3935,47.39566666666666,-0.1600000000000037,8.415799999999999,8.424510000000001,8.434235,8.431933333333333,-0.018800000000000594,393.4,393.3,392.95,392.76666666666665,0.0,Warning,101.38980952380952,34,Schedule Maintenance Soon
30,143,-0.0036,0.0,100.0,518.67,642.54,1599.22,1408.62,14.62,21.61,553.01,2388.12,9057.71,1.3,47.61,521.32,2388.13,8135.44,8.4829,0.03,393,2388,100.0,38.78,23.3175,642.7099999999999,642.729,642.7605000000001,642.7836666666666,-0.01999999999998181,1410.518,1411.392,1412.008,1411.0076666666669,-8.0300000000002,47.556,47.620000000000005,47.5925,47.59133333333333,0.1599999999999966,8.458760000000002,8.44542,8.448395000000001,8.449643333333334,-0.007299999999998974,393.8,393.3,393.3,393.43333333333334,-1.0,Healthy,102.75201611841318,34,Operating Normally
31,196,-0.0005,0.0001,100.0,518.67,643.31,1598.19,1420.66,14.62,21.61,551.48,2388.18,9090.98,1.3,47.78,519.55,2388.22,8157.84,8.5015,0.03,395,2388,100.0,38.53,23.1105,643.552,643.403,643.365,643.2386666666666,-0.2600000000001046,1427.312,1424.636,1422.8175,1421.0646666666667,-5.779999999999973,48.0,47.967,47.9505,47.88333333333333,-0.12999999999999545,8.492280000000001,8.49051,8.490269999999999,8.48453,0.02999999999999936,395.2,395.2,394.95,394.73333333333335,-1.0,Critical,14.48972222222222,5,Immediate Maintenance Required
32,145,-0.0033,-0.0001,100.0,518.67,642.96,1587.37,1406.22,14.62,21.61,553.84,2388.05,9105.13,1.3,47.48,522.3,2388.05,8173.9,8.438,0.03,394,2388,100.0,38.84,23.3456,642.588,642.542,642.4834999999999,642.4883333333333,0.6800000000000637,1409.268,1407.007,1406.1725,1405.7233333333331,-4.25,47.464,47.415,47.3925,47.359,0.04999999999999716,8.44098,8.43598,8.429759999999998,8.42445,0.0057000000000009265,393.2,393.4,392.95,392.6666666666667,1.0,Warning,70.4205703676266,23,Schedule Maintenance Soon
33,50,0.0005,0.0005,100.0,518.67,642.42,1579.36,1416.53,14.62,21.61,553.56,2388.14,9059.56,1.3,47.61,520.95,2388.11,8134.27,8.4463,0.03,392,2388,100.0,38.73,23.2843,642.6120000000001,642.6690000000001,642.7205,642.7343333333334,-0.07000000000005002,1409.636,1409.004,1410.5525000000002,1409.9386666666667,10.61999999999989,47.596000000000004,47.612,47.6135,47.60066666666667,0.07000000000000028,8.45348,8.456669999999999,8.445969999999999,8.448353333333333,-0.02269999999999861,393.2,393.4,393.5,393.3,-2.0,Healthy,127.40458323158323,42,Operating Normally
34,203,-0.0011,-0.0001,100.0,518.67,643.74,1600.38,1427.49,14.62,21.61,551.77,2388.29,9036.27,1.3,48.13,519.44,2388.25,8122.11,8.5158,0.03,397,2388,100.0,38.62,23.0641,643.43,643.447,643.3375,643.1763333333333,0.16999999999995907,1427.362,1422.831,1421.4995000000001,1419.9183333333335,0.5099999999999909,48.114,48.06400000000001,47.983999999999995,47.882666666666665,0.020000000000003126,8.4971,8.49468,8.48998,8.479563333333333,0.045300000000001006,395.8,395.6,394.8,394.56666666666666,3.0,Critical,7.7268888888888885,3,Immediate Maintenance Required
35,198,-0.0047,-0.0003,100.0,518.67,643.4,1602.02,1428.42,14.62,21.61,551.76,2388.26,9079.88,1.3,48.1,519.81,2388.22,8153.85,8.5141,0.03,395,2388,100.0,38.63,23.1161,643.422,643.3879999999999,643.38,643.3306666666667,0.009999999999990905,1426.084,1424.482,1423.517,1421.3236666666667,0.4900000000000091,48.044,47.994,47.980000000000004,47.958,-0.1599999999999966,8.50908,8.510679999999999,8.504865,8.49652,-0.02340000000000053,395.6,395.4,395.1,395.1333333333333,1.0,Critical,8.271661890049806,3,Immediate Maintenance Required
36,126,-0.0018,-0.0002,100.0,518.67,642.94,1599.19,1418.98,14.62,21.61,552.32,2388.16,9056.3,1.3,47.94,520.01,2388.22,8136.96,8.5259,0.03,394,2388,100.0,38.54,23.1534,643.2879999999999,643.309,643.2405,643.1403333333333,-0.7399999999998954,1422.834,1421.7350000000001,1421.1175,1419.3210000000001,-3.9200000000000728,47.908,47.873000000000005,47.8455,47.79333333333333,0.09999999999999432,8.497319999999998,8.49259,8.48514,8.482623333333333,0.012299999999999756,394.6,394.7,394.75,394.5,-1.0,Critical,22.37095238095238,7,Immediate Maintenance Required
37,121,-0.0006,0.0002,100.0,518.67,643.34,1593.15,1413.38,14.62,21.61,552.56,2388.18,9041.71,1.3,47.69,520.69,2388.15,8119.07,8.4944,0.03,394,2388,100.0,38.76,23.2145,643.142,642.9860000000001,642.8655,642.7653333333334,0.35000000000002274,1412.594,1411.549,1411.077,1409.837,2.9500000000000455,47.714,47.674,47.612,47.55933333333334,-0.0800000000000054,8.47244,8.46818,8.454310000000001,8.446393333333335,0.03700000000000081,393.8,393.8,393.65,393.4,1.0,Warning,35.190096618357494,12,Schedule Maintenance Soon
38,125,-0.0015,-0.0003,100.0,518.67,643.04,1588.23,1404.91,14.62,21.61,553.09,2388.14,9086.18,1.3,47.86,520.91,2388.15,8160.76,8.4695,0.03,393,2388,100.0,38.78,23.1739,642.994,643.0809999999999,643.0245,642.9916666666667,-0.2800000000000864,1413.4479999999999,1412.024,1412.2310000000002,1412.339,-10.059999999999945,47.802,47.741,47.712,47.68566666666667,0.0799999999999983,8.48226,8.4762,8.46978,8.465813333333333,-0.03880000000000017,394.2,394.6,394.05,394.23333333333335,-3.0,Warning,48.189166666666665,16,Schedule Maintenance Soon
39,37,0.0004,0.0003,100.0,518.67,642.09,1581.58,1402.17,14.62,21.61,554.03,2388.02,9061.91,1.3,47.2,521.94,2388.0,8147.31,8.3904,0.03,393,2388,100.0,38.82,23.3721,641.8100000000001,642.0020000000001,642.1209999999999,642.1723333333333,0.3300000000000409,1398.6560000000002,1397.902,1399.333,1399.447,5.529999999999973,47.212,47.222,47.2485,47.25566666666667,-0.11999999999999744,8.40526,8.40625,8.408080000000002,8.407963333333333,-0.044299999999999784,391.6,391.5,391.6,391.6333333333333,1.0,Healthy,161.3137670772657,54,Operating Normally
40,133,-0.0036,-0.0005,100.0,518.67,643.2,1603.15,1420.48,14.62,21.61,552.57,2388.17,9066.45,1.3,47.84,520.41,2388.17,8143.07,8.47,0.03,396,2388,100.0,38.58,23.0906,643.1700000000001,643.193,643.115,643.0663333333333,0.16000000000008185,1418.9740000000002,1418.204,1417.4065,1415.7050000000002,-0.8199999999999363,47.86,47.86,47.839,47.80533333333334,-0.0899999999999963,8.473279999999999,8.48126,8.4805,8.476623333333333,-0.004099999999999326,394.8,395.0,395.05,394.8666666666667,2.0,Warning,29.98176587301587,10,Schedule Maintenance Soon
41,123,-0.0018,0.0001,100.0,518.67,642.54,1594.24,1416.76,14.62,21.61,553.02,2388.19,9036.88,1.3,47.64,520.61,2388.2,8115.82,8.4533,0.03,395,2388,100.0,38.84,23.1718,642.864,642.754,642.7855,642.745,-0.5400000000000773,1414.922,1414.5359999999998,1412.265,1409.488,0.4800000000000182,47.772000000000006,47.71,47.654999999999994,47.585666666666675,-0.17999999999999972,8.46748,8.46269,8.45051,8.444633333333334,-0.05269999999999975,394.4,393.9,393.55,393.2,2.0,Warning,31.4972558675892,10,Schedule Maintenance Soon
42,156,-0.0004,-0.0,100.0,518.67,643.31,1599.55,1425.12,14.62,21.61,550.94,2388.27,9026.89,1.3,47.89,520.54,2388.27,8118.45,8.4792,0.03,395,2388,100.0,38.51,23.094,643.384,643.322,643.0985000000001,643.038,-0.7600000000001046,1420.946,1419.016,1416.3539999999998,1414.2160000000001,-0.25,47.906,47.858,47.802499999999995,47.743,0.10999999999999943,8.476040000000001,8.47997,8.471625,8.4624,0.0030000000000001137,395.2,394.9,394.55,394.3,-1.0,Critical,16.69732104454685,6,Immediate Maintenance Required
43,172,-0.003,0.0003,100.0,518.67,642.77,1594.19,1418.4,14.62,21.61,552.25,2388.13,9052.93,1.3,47.6,520.86,2388.16,8135.46,8.4456,0.03,394,2388,100.0,38.63,23.2379,643.038,642.909,642.828,642.7833333333333,-0.15999999999996817,1412.628,1411.2559999999999,1410.3255000000001,1409.6656666666668,10.620000000000118,47.678000000000004,47.637,47.5875,47.568,-0.03999999999999915,8.44692,8.44874,8.450895,8.445806666666666,-0.025299999999999656,394.4,394.0,393.65,393.6333333333333,-1.0,Warning,49.07208450046686,16,Schedule Maintenance Soon
44,54,0.0001,0.0002,100.0,518.67,642.49,1582.3,1415.29,14.62,21.61,552.97,2388.13,9057.77,1.3,47.52,521.73,2388.1,8131.44,8.4391,0.03,392,2388,100.0,38.85,23.3058,642.434,642.517,642.5350000000001,642.5133333333334,0.22000000000002728,1407.95,1406.571,1406.3365,1404.8683333333333,12.0,47.42999999999999,47.42,47.441500000000005,47.42966666666666,0.240000000000002,8.43404,8.425659999999999,8.423795,8.423423333333334,-0.04359999999999964,393.0,393.1,392.9,392.76666666666665,0.0,Healthy,155.21355454208125,52,Operating Normally
45,152,0.0044,0.0002,100.0,518.67,642.75,1598.59,1410.33,14.62,21.61,553.2,2388.15,9067.31,1.3,47.57,520.76,2388.15,8140.56,8.4695,0.03,394,2388,100.0,38.58,23.312,642.8860000000001,642.9200000000001,642.8035,642.7956666666666,-0.36000000000001364,1412.6680000000001,1413.318,1412.0935000000002,1411.161,-7.420000000000073,47.62,47.589999999999996,47.5865,47.585666666666675,0.0799999999999983,8.46888,8.45898,8.4537,8.452103333333334,0.016000000000000014,394.2,393.7,393.5,393.3666666666667,0.0,Warning,50.50465119961028,17,Schedule Maintenance Soon
